kind,shape_sig,dtype,v3_id,v4_id,v3_e2e_us,v4_e2e_us,diff_v3_minus_v4_us,ratio_v3_over_v4,v3_device_us,v4_device_us
func,"q:2,1,2,32/bf16 | k:2,1,1,32/bf16 | v:2,1,1,32/bf16",bf16,4,1,1690.23,1701.11,-10.87,0.994,,
func,"q:4,1,1,32/bf16 | k:4,1,1,32/bf16 | v:4,1,1,32/bf16",bf16,5,2,1689.57,1698.14,-8.57,0.995,,
func,"q:1,16,1,16/bf16 | k:1,16,1,16/bf16 | v:1,16,1,16/bf16",bf16,6,6,1693.29,1694.46,-1.17,0.999,,
func,"q:2,7,2,16/bf16 | k:2,7,2,16/bf16 | v:2,7,2,16/bf16",bf16,9,9,1694.93,1700.72,-5.79,0.997,,
func,"q:2,4,8,16/fp16 | k:2,15,2,16/fp16 | v:2,15,2,16/fp16",fp16,11,10,534.87,388.07,146.81,1.378,,
func,"q:2,1,2,64/bf16 | k:2,7,2,64/bf16 | v:2,7,2,64/bf16",bf16,12,12,511.68,397.65,114.02,1.287,,
func,"q:2,8,4,16/fp16 | k:2,8,4,16/fp16 | v:2,8,4,16/fp16",fp16,13,13,513.21,393.79,119.42,1.303,,
func,"q:1,32,1,32/bf16 | k:1,32,1,32/bf16 | v:1,32,1,32/bf16",bf16,15,14,1692.01,1705.58,-13.56,0.992,,
func,"q:2,2,2,32/bf16 | k:2,32,1,32/bf16 | v:2,32,1,32/bf16",bf16,18,16,1693.63,1700.7,-7.07,0.996,,
func,"q:1,17,8,16/bf16 | k:1,17,1,16/bf16 | v:1,17,1,16/bf16",bf16,19,17,1698.11,1715.42,-17.31,0.99,,
func,"q:1,1,16,32/fp16 | k:1,17,4,32/fp16 | v:1,17,4,32/fp16",fp16,21,18,1696.91,1695.51,1.41,1.001,,
func,"q:1,7,4,64/bf16 | k:1,4,4,64/bf16 | v:1,4,4,64/bf16",bf16,26,19,519.91,397.47,122.44,1.308,,
func,"q:1,15,2,64/bf16 | k:1,15,1,64/bf16 | v:1,15,1,64/bf16",bf16,28,20,1692.93,1704.42,-11.49,0.993,,
func,"q:2,8,4,16/fp16 | k:2,16,4,16/fp16 | v:2,16,4,16/fp16",fp16,32,21,561.82,404.24,157.58,1.39,,
func,"q:2,2,16,32/bf16 | k:2,4,4,32/bf16 | v:2,4,4,32/bf16",bf16,35,22,498.17,388.84,109.33,1.281,,
func,"q:1,65,1,16/fp16 | k:1,128,1,16/fp16 | v:1,128,1,16/fp16",fp16,52,23,519.4,395.58,123.82,1.313,,
func,"q:4,7,1,64/bf16 | k:4,8,1,64/bf16 | v:4,8,1,64/bf16",bf16,54,25,1691.44,1694.57,-3.13,0.998,,
func,"q:4,4,2,128/fp16 | k:4,4,1,128/fp16 | v:4,4,1,128/fp16",fp16,64,39,1692.02,1690.91,1.11,1.001,,
func,"q:2,4,16,16/fp16 | k:2,17,8,16/fp16 | v:2,17,8,16/fp16",fp16,65,42,530.72,397.48,133.24,1.335,,
func,"q:1,7,4,128/bf16 | k:1,7,4,128/bf16 | v:1,7,4,128/bf16",bf16,69,45,1693.27,1688.96,4.31,1.003,,
func,"q:8,2,4,64/fp16 | k:8,2,4,64/fp16 | v:8,2,4,64/fp16",fp16,72,48,1705.43,1701.23,4.2,1.002,,
func,"q:4,1,2,16/bf16 | k:4,64,2,16/bf16 | v:4,64,2,16/bf16",bf16,75,51,1696.29,1694.38,1.9,1.001,,
func,"q:2,33,1,64/fp16 | k:2,33,1,64/fp16 | v:2,33,1,64/fp16",fp16,82,52,1695.4,1698.71,-3.31,0.998,,
func,"q:1,256,1,32/bf16 | k:1,33,1,32/bf16 | v:1,33,1,32/bf16",bf16,83,56,499.87,409.22,90.65,1.222,,
